#Cfactor 0.381056399
GB EU
GB_K05L 19121.8364 11976.1587
GB_NHM0247274489 19117.9758 11974.6567
EU_NHM0247274898 18314.9044 12774.7704
EU_NHM0247274918 18260.793 12847.2125
GB_NHM0247274928 18923.8075 12182.6371
GB_NHM0247276019 18924.7745 12168.8779
GB_NHM0247276026 19072.8446 12013.3005
EU_NHM0247276027 18256.1966 12847.7598
GB_NHM0247276050 19082.4242 12025.4816
GB_OX10 18819.7319 12275.4602
EU_OX11 18396.0372 12691.0575
EU_OX13 18420.5667 12667.1651
EU_OX15 18429.1448 12668.8898
EU_OX16 18343.1594 12764.3737
GB_OX4 18919.1381 12186.2207
GB_OX5 18871.215 12220.5458
GB_OX8 18773.8798 12315.9698
