Recipient GB EU
GB_K05L 2771.83741 1740.04891
GB_NHM0247274489 2777.37181 1734.51451
EU_NHM0247274898 2657.41237 1854.47395
EU_NHM0247274918 2636.32638 1875.55994
GB_NHM0247274928 2747.21948 1764.66684
GB_NHM0247276019 2754.99369 1756.89263
GB_NHM0247276026 2778.95647 1732.92985
EU_NHM0247276027 2646.52174 1865.36458
GB_NHM0247276050 2770.91252 1740.9738
GB_OX10 2742.25679 1769.62953
EU_OX11 2667.70799 1844.17833
EU_OX13 2668.59221 1843.29411
EU_OX15 2663.32804 1848.55828
EU_OX16 2650.86914 1861.01718
GB_OX4 2747.55026 1764.33606
GB_OX5 2731.00425 1780.88207
GB_OX8 2723.19405 1788.69227
