Recipient GB EU
GB_K05L 500.999637 353.635637
GB_NHM0247274489 568.453637 399.239659
EU_NHM0247274898 735.274872 480.978147
EU_NHM0247274918 759.743903 495.357381
GB_NHM0247274928 578.662683 397.147043
GB_NHM0247276019 611.179569 414.823562
GB_NHM0247276026 609.663738 425.155436
EU_NHM0247276027 762.701424 497.014134
GB_NHM0247276050 475.626467 335.15291
GB_OX10 616.209604 422.759263
EU_OX11 788.512891 519.837397
EU_OX13 763.420717 502.7629
EU_OX15 682.348153 447.854556
EU_OX16 789.382381 518.914348
GB_OX4 553.378763 380.660902
GB_OX5 624.72065 428.108994
GB_OX8 668.898795 453.503503
