Recipient num.regions GB EU
GB_K05L 20958 19120.2131 11975.2345
GB_NHM0247274489 20966 19116.302 11973.796
EU_NHM0247274898 20954 18314.127 12773.069
EU_NHM0247274918 20983 18259.9359 12845.7336
GB_NHM0247274928 20976 18922.1842 12181.713
GB_NHM0247276019 20960 18923.1007 12168.0172
GB_NHM0247276026 20955 19071.1709 12012.4398
EU_NHM0247276027 20958 18254.5229 12846.8991
GB_NHM0247276050 20976 19080.8009 12024.5575
GB_OX10 20962 18818.0581 12274.5995
EU_OX11 20969 18394.3634 12690.1968
EU_OX13 20965 18418.8929 12666.3044
EU_OX15 20977 18427.4711 12668.029
EU_OX16 20970 18341.4856 12763.513
GB_OX4 20961 18917.4643 12185.36
GB_OX5 20972 18869.6346 12219.5788
GB_OX8 20955 18772.206 12315.1091
