Recipient num.regions GB EU
GB_K05L 20958 19263.5187 7720.86442
GB_NHM0247274489 20966 19282.4115 7747.23473
EU_NHM0247274898 20954 17853.159 8875.27658
EU_NHM0247274918 20983 17735.0692 8954.4171
GB_NHM0247274928 20976 18906.6503 7991.95842
GB_NHM0247276019 20960 18925.0131 8013.18248
GB_NHM0247276026 20955 19215.2445 7818.1227
EU_NHM0247276027 20958 17740.4268 8970.61978
GB_NHM0247276050 20976 19171.3682 7755.88103
GB_OX10 20962 18746.1212 8146.08598
EU_OX11 20969 17990.9208 8774.75641
EU_OX13 20965 18059.701 8729.6442
EU_OX15 20977 18026.8211 8697.8895
EU_OX16 20970 17916.7008 8869.71827
GB_OX4 20961 18905.4431 7984.14305
GB_OX5 20972 18833.6648 8074.80869
GB_OX8 20955 18692.2818 8224.03894
